query_index,query,video_id,start,end
1,A warmly lit log cabin surrounded by forests in a snowy field at night,Pwv4avomXYo,139.25,139.25
1,A warmly lit log cabin surrounded by forests in a snowy field at night,Pwv4avomXYo,137.75,137.75
1,A warmly lit log cabin surrounded by forests in a snowy field at night,Pwv4avomXYo,138.0,138.0
1,A warmly lit log cabin surrounded by forests in a snowy field at night,Pwv4avomXYo,137.25,137.25
1,A warmly lit log cabin surrounded by forests in a snowy field at night,Pwv4avomXYo,142.0,142.0
2,Reindeer looking at a fallen person in the winter forest,Pwv4avomXYo,139.25,139.25
2,Reindeer looking at a fallen person in the winter forest,Pwv4avomXYo,137.75,137.75
2,Reindeer looking at a fallen person in the winter forest,Pwv4avomXYo,138.0,138.0
2,Reindeer looking at a fallen person in the winter forest,Pwv4avomXYo,137.25,137.25
2,Reindeer looking at a fallen person in the winter forest,Pwv4avomXYo,142.0,142.0
3,man falls from reindeer,Pwv4avomXYo,139.25,139.25
3,man falls from reindeer,Pwv4avomXYo,137.75,137.75
3,man falls from reindeer,Pwv4avomXYo,138.0,138.0
3,man falls from reindeer,Pwv4avomXYo,137.25,137.25
3,man falls from reindeer,Pwv4avomXYo,142.0,142.0
4,Snowman melting in front of fireplace,Pwv4avomXYo,139.25,139.25
4,Snowman melting in front of fireplace,Pwv4avomXYo,137.75,137.75
4,Snowman melting in front of fireplace,Pwv4avomXYo,138.0,138.0
4,Snowman melting in front of fireplace,Pwv4avomXYo,137.25,137.25
4,Snowman melting in front of fireplace,Pwv4avomXYo,142.0,142.0
5,The snowman greets the woman and tells her her name.,Pwv4avomXYo,139.25,139.25
5,The snowman greets the woman and tells her her name.,Pwv4avomXYo,137.75,137.75
5,The snowman greets the woman and tells her her name.,Pwv4avomXYo,138.0,138.0
5,The snowman greets the woman and tells her her name.,Pwv4avomXYo,137.25,137.25
5,The snowman greets the woman and tells her her name.,Pwv4avomXYo,142.0,142.0
6,A woman repeatedly says she is cold,Pwv4avomXYo,139.25,139.25
6,A woman repeatedly says she is cold,Pwv4avomXYo,137.75,137.75
6,A woman repeatedly says she is cold,Pwv4avomXYo,138.0,138.0
6,A woman repeatedly says she is cold,Pwv4avomXYo,137.25,137.25
6,A woman repeatedly says she is cold,Pwv4avomXYo,142.0,142.0
7,"Winter, night, snowy field, log cabin",Pwv4avomXYo,139.25,139.25
7,"Winter, night, snowy field, log cabin",Pwv4avomXYo,137.75,137.75
